Juego,Balda,Fecha adquisición,Prestado a,Fecha préstamo,Estado,Anotaciones,Comprobado,Veces sacado 2014,Veces sacado 2015,Veces sacado 2016,Veces sacado 2017,Veces sacado 2018,Veces sacado 2019,Veces sacado 2020,Veces sacado 2021,Veces sacado 2023,Veces sacado 2024,Veces sacado 2025,Veces sacado TOTAL,,,,,,,,,,,,,,
Carcassonne Junior,Y6,,,,,ok,21-julio,,1,1,3,,3,,,,1,,9,,,,,,,,,,,,,,
Carcata,D4,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,
Cargolino Valentino,Y4,,,,,,,,,,3,3,3,1,,1,3,,14,,,,,,,,,,,,,,
Carnegie,E4,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Carnegie: Departments and Donations Expansion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carrera de caracoles,Y6,,,,,,,,,,,,1,1,2,2,1,1,8,,,,,,,,,,,,,,
Cartagena,M6,,,,,,,,,,,3,1,2,2,,,,8,,,,,,,,,,,,,,
Cartaventuras,COL 4,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,
CarTcassonne,M4,,,,,,,,1,,1,,,,,,,,2,,,,,,,,,,,,,,
Cascadia,J4,,,,,,,,,,,,,,,2,2,6,10,,,,,,,,,,,,,,
Cascadia: Cartas Promocionales Kickstarter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
