Juego,Balda,Fecha adquisición,Prestado a,Fecha préstamo,Estado,Anotaciones,Comprobado,Veces sacado 2014,Veces sacado 2015,Veces sacado 2016,Veces sacado 2017,Veces sacado 2018,Veces sacado 2019,Veces sacado 2020,Veces sacado 2021,Veces sacado 2023,Veces sacado 2024,Veces sacado 2025,Veces sacado TOTAL,,,,,,,,,,,,,,
Jungle Speed Donkey Kong,Novedades,15 SEP 2025,,,n,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Jungo,Novedades,15 SEP 2025,,,n,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Junk Art,L2,,,,,,,,,,,,5,1,,,,2,8,,,,,,,,,,,,,,
Junta: Las Cartas,COL 2,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Just One,D5,,,,,,,,,,,,,,5,2,2,4,13,,,,,,,,,,,,,,
Justice League: Dawn of Heroes,C1,,,,,,,,,,,1,1,,,,,,2,,,,,,,,,,,,,,
K2,C1,,,,,ok,11-agosto,,1,1,,,1,1,,,,,4,,,,,,,,,,,,,,
Kaispeicher (Exp. The Speicherstadt),M2,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Kakerlakenpoker,COL 7,,,,,ok,20-julio,,,,1,,,,,,,,1,,,,,,,,,,,,,,
Kaleidos,D5,,,,,,,,8,3,1,4,6,5,,,,1,28,,,,,,,,,,,,,,
Kamisado,I1,,,,,,,,4,1,,1,2,,,,,,8,,,,,,,,,,,,,,
Kanagawa,J6,,,,,,,,,,,1,1,,,1,,,3,,,,,,,,,,,,,,
Kanban: Automobile Revolution,E2,,,,,,,,,1,3,,1,1,1,,,2,9,,,,,,,,,,,,,,
Karak,B3,,Spider,23 oct,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,
Karate Tomate,COL 0,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,
Karekare,I6,,,,,faltan canoas rojas,,,,,,,,,1,,,,1,,,,,,,,,,,,,,
Karma,COL 4,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Karuba,H5,,,,,,,,,,,,1,1,,1,1,,4,,,,,,,,,,,,,,
Keltis,H1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
Keltis de viaje,COL 1,,,,,,,,,1,1,,3,,,,,,5,,,,,,,,,,,,,,
Keyflower,G4,,,,,ok,12-agosto,,1,1,1,1,,1,1,,,,6,,,,,,,,,,,,,,
Keyflower: Key Celeste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khôra: El Nacimiento de un Imperio,H1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,
Kids Chronicles: En busca de las Piedras Lunares,Z5,,,,,,,,,,,,,,,3,,,3,,,,,,,,,,,,,,
Kid's Quest Misión Galletas,Y5,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,
King of New York,J2,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,
King of Tokyo,J2,,,,,,,3,1,,1,2,4,1,2,,,1,15,,,,,,,,,,,,,,
King of Tokyo: Promo Cards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingdom Builder,J5,,,,,falta una ficha de barco,21-julio,,1,,,1,1,,1,,,,4,,,,,,,,,,,,,,
Kingdom Defenders,G4,,,,,,,,,,,,,2,1,,,1,4,,,,,,,,,,,,,,
Kingdomino,I5,,,,,,,,,,,,5,3,1,,1,2,12,,,,,,,,,,,,,,
Kingdoms,D2,,,,,,,,2,,,,,,,2,,1,5,,,,,,,,,,,,,,
Kingsburg,F1,,,,,,,,3,1,1,,,,2,1,,,8,,,,,,,,,,,,,,
Kitchen Rush,J5,,,,,,,,,,,12,9,3,3,,2,,29,,,,,,,,,,,,,,
Kiwis Voladores,Y5,,,,,Piezas rotas,,,,,4,2,,1,1,,,,8,,,,,,,,,,,,,,
Kiwis Voladores,Y6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klask ,A1,,,,,,,,,,,1,1,3,1,,,,6,,,,,,,,,,,,,,
Kleine Magier (Maguitos),Y3,,,,,,,,2,1,4,3,1,1,2,1,,,15,,,,,,,,,,,,,,
Kodama: Los espíritus del árbol,COL 2,,,,,,,,,,5,1,,,1,,,1,8,,,,,,,,,,,,,,
Kohle (Brass),L1,,,,,,,1,2,,,,,,,,,,3,,,,,,,,,,,,,,
Koinobori,COL 2,15 MAY 2025,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
Kragmortha,C1,,,,,,,,,,,3,3,,,,,,6,,,,,,,,,,,,,,
Kreus,COL 4,,,,,,,,,,,1,2,,,,1,,4,,,,,,,,,,,,,,
Kubb,A1,,,,,,,,,2,2,,,,,,,,4,,,,,,,,,,,,,,
KUMO Hogosha,B1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Kyoto No Neko,D3,26 ABR 2025,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,
La Abeja Adela,Y3,,,,,,,,,,,,1,1,3,1,1,,7,,,,,,,,,,,,,,
La Batalla de los Cinco Ejércitos,B6,,,,,,,,1,,,,,,,1,,,2,,,,,,,,,,,,,,
La Batalla de Versalles,I5,15 MAY 2025,,,,ok,7/07/2025,,,,,,,,,,,2,2,,,,,,,,,,,,,,
La Boca,I4,,,,,,,2,4,4,1,5,4,,,,1,1,22,,,,,,,,,,,,,,
La Búsqueda del Anillo,B6,,,,,,,,,,,4,2,,,,,,6,,,,,,,,,,,,,,
La Cucaracha,Y1,,,,,,,2,3,1,1,,,,,,,,7,,,,,,,,,,,,,,
La Cueva del Troll,D2,,,,,,,,,2,,1,,1,,,,,4,,,,,,,,,,,,,,
La danza del huevo,Z4,,,,,,,,,1,1,1,1,,,,,,4,,,,,,,,,,,,,,
La Era del Carbón,E2,,,,,Faltan cubos,,,,2,1,1,2,,,1,,1,8,,,,,,,,,,,,,,
La escalera encantada,Y4,,,,,,,,2,,1,2,2,,,3,,1,11,,,,,,,,,,,,,,
La Familia Addams,N4,MAYO 2024,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
La Furia de Drácula,B3,,,,,,,,,,1,2,,,,,1,,4,,,,,,,,,,,,,,
La Gran Muralla China,COL 1,,,,,,,,,,,,,,1,1,,,2,,,,,,,,,,,,,,
La Granja,G3,,,,,,,,1,2,1,2,1,3,2,1,1,,14,,,,,,,,,,,,,,
La Isla,M2,,,,,,,,,,1,,1,1,,1,,,4,,,,,,,,,,,,,,
La Isla Prohibida,P3,,,,,ok,7-octubre,,,3,1,2,2,,,,1,,9,,,,,,,,,,,,,,
La Isla Prohibida: La Expansión Prohibida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Leyenda del Cerezo que florece cada diez años,H6,,,,,,,,,,,,2,1,,,,,3,,,,,,,,,,,,,,
La liebre y la tortuga,Z4,,,,,,,,,,1,,,,,,1,,2,,,,,,,,,,,,,,
La mona junior,COL 6,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,
La Morada Maldita,COL 7,,,,,,,,,,,,,,,,4,1,5,,,,,,,,,,,,,,
La Noche que cayó Pompeya,M5,,,,,,,,,,3,5,5,3,2,1,3,1,23,,,,,,,,,,,,,,
La Oscuridad Asfixiante,A6,16 DIC 2024,pestre,23 oct,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
La Pandilla del Bosque,Y3,,,,,,,,,,,,,,,2,1,,3,,,,,,,,,,,,,,
La Posada sangrienta,E6,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,
La Princesa y el guisante,COL 6,,,,,,,,,,,4,,,2,,,,6,,,,,,,,,,,,,,
La Resistencia,D5,,,,,,,,,1,1,1,4,,,,,1,8,,,,,,,,,,,,,,
La Torre del Dragón,Y3,,,,,,,,,,,,2,1,3,1,,1,8,,,,,,,,,,,,,,
La Tripulacion: En busca del noveno planeta,COL 2,,,,,,,,,,,,,,3,,1,1,5,,,,,,,,,,,,,,
La Villa,G2,,,,,,,,2,,,1,4,1,,,1,,9,,,,,,,,,,,,,,
La Villa: La Posada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Viña,COL 2,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
Labyrinth Card,COL 1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Labyrinth Super Mario,Novedades,15 SEP 2025,,,n,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Lacrimosa,F5,,,,,,,,,,,,,,,1,4,,5,,,,,,,,,,,,,,
LadyUp,COL 7,2 JUN 2023,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,
Lama,COL 0,16 MAY 2024,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,
Lancelot,G1,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,
Lapsus,COL 1,,,,,,,,,,,,,,1,,1,,2,,,,,,,,,,,,,,
Las Aventuras de Tueli,COL 1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Las Brujas de Cernégula,COL 3,,,,,,,,,,,1,,1,,,,,2,,,,,,,,,,,,,,
Las Edades de Oro,E1,,,,,,,,,1,,1,1,,,,1,1,5,,,,,,,,,,,,,,
Las Edades de Oro: Pack de Maravillas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Las Leyendas de Andor,B5,,,,,,,,1,3,3,,,,1,,,,8,,,,,,,,,,,,,,
Las Mansiones de la Locura 2ª edicion,A5,,,,,tapa rota y arreglada,,,,,,,6,2,,1,1,1,11,,,,,,,,,,,,,,
LMDLL 2ºEdic. Calles de Arkham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LMDLL 2ºEdic. El Santuario del Crepúsculo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LMDLL 2ºEdic. Mas allá del umbral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LMDLL 2ºEdic. Recuerdos reprimidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LMDLL 2ºEdic. Viajes Escalofriantes,A6,5 AGO 2024,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Las Mareas del Tiempo,*,,,,,,,,,1,3,,1,1,,,,,6,,,,,,,,,,,,,,
Las mil y una noches,B2,,,,,,,,,,3,4,2,1,,,,,10,,,,,,,,,,,,,,
Las Ruinas Perdidas de Arnak,K3,,,,,,,,,,,,,,1,2,3,,6,,,,,,,,,,,,,,
Las Ruinas Perdidas de Arnak: Líderes de la Expedición,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Las Torres Errantes,H5,ENE 2024,,,,,,,,,,,,,,,3,3,6,,,,,,,,,,,,,,
Las Tribus del Viento,J3,FEB 2024,,,,,,,,,,,,,,,3,2,5,,,,,,,,,,,,,,
Las Vegas Quiz,D4,,,,,falta una ficha,23-julio,6,9,1,1,1,1,,,,,,19,,,,,,,,,,,,,,
Last Bastion,B3,18 SEP 2025,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Last Friday,D1,,,,,,,,,,4,2,,1,,,,,7,,,,,,,,,,,,,,
Le Havre,E3,,,,,,,,,5,3,,,1,1,1,,,11,,,,,,,,,,,,,,
Legado Perdido: La espada Vorpal y El Chapitel,COL 3,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
      Legado Perdido: El Grial Sagrado y El Báculo ,COL 3,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Legado Perdido: La Nave y El Jardín Florante,COL 3,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,
Leo va al barbero,Z5,,,,,,,,,,4,7,4,1,,,1,,17,,,,,,,,,,,,,,
Let's Go Spidey Team!,Novedades,15 SEP 2025,,,n,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Level X,I6,,,,,,,,,,1,,1,,,,,,2,,,,,,,,,,,,,,
Lewis & Clark,H3,,,,,,,,,1,,,4,6,1,,,,12,,,,,,,,,,,,,,
Libro de Hechizos,C4,ABRIL 2024,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,
Ligretto azul,COL 4,,,,,ok,21-julio,,2,,,,,,,,,1,3,,,,,,,,,,,,,,
Ligretto verde,COL 4,,,,,ok,21-julio,,,,,,,,,,,,0,,,,,,,,,,,,,,
Line-it,COL 1,1 NOV 2024,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
Linkto: Alimentos,COL 6,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Listillo,D5,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,
Little Fox,COL 7,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,
Lobo,E6,,,,,,,,,,1,2,,,,,,,3,,,,,,,,,,,,,,
Lobos,K6,15 FEB 2025,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
Lofoten,I5,FEB 2024,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,
Logic! Games: Aquanilopark,Z3,,,,,,,,,,,,,,,1,2,2,5,,,,,,,,,,,,,,
Logic! Games: Gusi & Co,Z3,,,,,,,,,,,,,,,3,1,,4,,,,,,,,,,,,,,
Lola's clues: Las pistas de Lola,Y5,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,
London,E1,,,,,,,1,,,1,,4,,,,,,6,,,,,,,,,,,,,,
London after Midnight 2: Sherlock in hell,COL 5,,,,,,,,,,1,,,1,,,,,2,,,,,,,,,,,,,,
Loony Quest,Y6,,,,,falta 2 tokens y reloj roto,18-enero,,,4,,3,2,3,,,,,12,,,,,,,,,,,,,,
Lords of Hellas,A5,,,,,,,,,,,,,2,1,,,,3,,,,,,,,,,,,,,
Lords of the P.I.G.S,*,,,,,ok,12-agosto,,,,,,,,,,,,0,,,,,,,,,,,,,,
Lords of the P.I.G.S Edición Pata negra,*,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Lords of Waterdeep,L3,,,,,ok,10-enero,,,1,,,1,2,1,,1,,6,,,,,,,,,,,,,,
Lorenzo il Magnifico: Big Box,G3,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
Lorenzo il Magnifico: The Pazzi Conspiracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los 7 Odiosos,COL 5,,,,,,,,,,,,2,2,,,,,4,,,,,,,,,,,,,,
Los Aprendices,E6,,,,,,,,,3,,,,,,,,,3,,,,,,,,,,,,,,
Los Futbolísimos. Campo 4,COL 6,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Los Inseparables,COL 4,,,,,,,,,,1,2,1,,2,,,,6,,,,,,,,,,,,,,
Los Magos del Bosque,COL 6,OCT 2024,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,
Los países de Europa,Y3,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Los países del mundo,Y1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,
Los Pilares de la Tierra: El juego de cartas,COL 5,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,
Los Pioneros,H5,,,,,,,,,,,,4,1,,,,,5,,,,,,,,,,,,,,
Los tres cerditos,Y5,,,,,,,,,,1,2,,,1,,1,,5,,,,,,,,,,,,,,
Los valientes del claro de luna,Y1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,
Los Viajes de Marco Polo,G3,,,,,,,,,1,1,2,3,1,1,1,1,,11,,,,,,,,,,,,,,
Loser,COL 5,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Lost Treasure,Y5,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,
Lost Valley,*,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,
Love Letter,P3,,,,,,,,1,1,1,,,1,,1,1,1,7,,,,,,,,,,,,,,
Love Letter (P&P),N4,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Love Letter: Star Wars - El Palacio de Jabba (PNP),N4,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Love Letter (Ingles),N4,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Lucca Cittá,COL 1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Ludi Gladiatorii,*,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Luna Capital,J4,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,
Luxor,I2,,,,,,,,,,,2,7,1,,,,,10,,,,,,,,,,,,,,
Macao,F3,MARZO 2024,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,
Madeira,E2,,,,,,,,,,1,,1,,1,,,,3,,,,,,,,,,,,,,
Mafia Cosa di Capo,*,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Mage Knight,B2,,,,,ok,,,,,2,3,1,3,1,,2,,12,,,,,,,,,,,,,,
Mage Wars Arena,B2,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,
Magic Maze,C3,,,,,,,,,,1,5,2,3,,,1,,12,,,,,,,,,,,,,,
Magic Maze Kids,Z4,,,,,,,,,,,3,1,,,,,1,5,,,,,,,,,,,,,,
Magic Maze on Mars,C3,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Magic Rabbit,COL 6,14 JUN 2023,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,
Magic Race,Y4,,Spider,23 oct,,,,,,,,,1,,1,,1,2,5,,,,,,,,,,,,,,
Magna Roma,L4,,,,,,,,,,,,,,,1,2,,3,,,,,,,,,,,,,,
Maharani,*,,,,,,,1,1,1,,1,,,2,,,,6,,,,,,,,,,,,,,
Majesty: La corona del reino,M6,,,,,,,,,,,6,3,,,,,,9,,,,,,,,,,,,,,
Make a Mooove!,Z2,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,
Maki Stack,D4,,,,,,,,,,,1,10,3,2,,,,16,,,,,,,,,,,,,,
Mal Trago,COL 0,,,,,,,,,,,,,,,1,2,2,5,,,,,,,,,,,,,,
Manhattan,F1,,,,,,,,,,,,2,4,,,,,6,,,,,,,,,,,,,,
Manila,J1,,,,,,,,,1,,,,2,1,,,,4,,,,,,,,,,,,,,
Manitoba,G3,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,
Mano a Mano,Ventas,,,,,,,,1,1,,,,,,,,,2,,,,,,,,,,,,,,
Mao Mao junior,COL 6,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,
Maracaibo,F2,,,,,,,,,,,,,,4,,,1,5,,,,,,,,,,,,,,
Maracaibo: La Armada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mario Kart Racetrack Logic Game,Novedades,15 SEP 2025,,,n,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Marrakesh,H2,5 AGO 2024,,,,,,,,,,,,,,,3,2,5,,,,,,,,,,,,,,
Mars attacks,A5,,,,,,,,4,,,,,,,,,,4,,,,,,,,,,,,,,
Marshals,COL 1,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,
Martinique,M6,,,,,,,,2,3,1,,1,1,,,,1,9,,,,,,,,,,,,,,
Marvel Champions: El Juego de Cartas,Novedades,15 SEP 2025,,,n,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
"Marvel Dice Throne: Capitana Marvel, Black Panther, Doctor Strange, Viuda Negra",K3,15 SEP 2025,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Marvel United,Novedades,9 OCT 2025,,,n,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Marvel Unied: X-Men,Novedades,15 SEP 2025,,,n,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Marvel Villainous: Mischief & Malice,Novedades,15 SEP 2025,,,n,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Marvel Zombies,A3,8 JUL 2024,,,,,,,,,,,,,,,2,2,4,,,,,,,,,,,,,,
Más Mascotas          (2),COL 7,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,
Más Noches de Sangre,J6,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,
Mascarade (P&P),N4,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Mascarade: The Dammed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mascarade: Usurper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mascletá,COL 5,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Mascotas         (2),COL 7,,,,,,,,,,3,3,3,3,,,,,12,,,,,,,,,,,,,,
Masmorra: Mazmorras de Arcadia,*,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,
Mastabas,*,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Master Merchant (PNP),N4,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Masters Gallery,COL 5,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Matrioska,*,,,,,,,,,,,3,,,,,,,3,,,,,,,,,,,,,,
Mazescape: Ariadne,COL 3,,,,,,,,,,,,,,3,1,,,4,,,,,,,,,,,,,,
Mazescape: Labyrinthos,COL 3,,,,,,,,,,,,,,3,,,,3,,,,,,,,,,,,,,
Mazescape XP: Cryo-C,COL 3,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,
Mazescape Kids: Hipnos,COL 3,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,
Medio Monstruo,COL 6,16 OCT 2024,,,,,,,,,,,,,,,1,1,2,,,,,,,,,,,,,,
Meeple Circus,L2,,,,,,,,,,,,,,1,,2,1,4,,,,,,,,,,,,,,
Meeple Quest,*,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,
Meine ersten Spiele: Baustelle (Las obras),Y3,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,
Memo vacaciones,Y4,,,,,,,,,,,,,,1,1,,,2,,,,,,,,,,,,,,
Men-Nefer,F2,20 NOV 2024,pestre,23 oct,,ok,07/09/2025,,,,,,,,,,,6,6,,,,,,,,,,,,,,
Merienda Jurásica,Y6,,,,,,,,,,,,2,,,,1,,3,,,,,,,,,,,,,,
Merlín,H2,,,,,,,,,,,,5,,,,,,5,,,,,,,,,,,,,,
Merv: El Corazón de la Ruta de la Seda,G2,11 JUL 2025,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Mesopotamiem,L3,,,,,tradumaquetar las cartas,11-septiembre,,1,1,,,,,,,,1,3,,,,,,,,,,,,,,
Mesopotamiem: Erweiterung,,,,,,tradumaquetar las cartas,11-septiembre,,,,,,,,,,,,,,,,,,,,,,,,,,
Metalcorps The Mechs' War,*,,,,,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,
Metal Mania,*,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Metropolys,E1,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,
Meuterer,COL 5,,,,,faltan las reglas,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Mexica,I2,,,,,,,,,,,1,2,,,,,,3,,,,,,,,,,,,,,
Mi Pequeño Everdell,Novedades,OCT 2024,UrKiXo,16 oct,n,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,
Mi Pequeño Scythe,Y2,,,,,,,,,,,,2,1,,1,1,,5,,,,,,,,,,,,,,
Mi Primer Tesoro de Juegos,Novedades,8 JUN 2025,,,n,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Miau Guau Galletas,Y1,,,,,,,,,,,,,,1,,1,3,5,,,,,,,,,,,,,,
Miau Miau,COL 6,,,,,,,,,,,6,2,,,1,,,9,,,,,,,,,,,,,,
Mice & Mystics: De Ratones y Magia,B3,,,,,,,2,6,4,6,4,6,1,2,1,2,,34,,,,,,,,,,,,,,
Mice & Mystics: El Corazón de Glorm,B3,,,,,,,,,1,1,,,,,,,,2,,,,,,,,,,,,,,
MicroMacro: Crime City – All In,F6,,,,,,,,,,,,,,,5,6,1,12,,,,,,,,,,,,,,
MicroMacro: Kids - Qué locura de parque,Novedades,14 OCT 2025,,,n,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Middle Earth Quest,B6,,,,,,,1,1,1,,2,1,,,,,,6,,,,,,,,,,,,,,
Miguel Strogoff,D2,,,,,,,,,,,1,1,2,1,,,1,6,,,,,,,,,,,,,,
Mind Up!,COL 0,16 MAY 2024,,,,,,,,,,,,,,,1,1,2,,,,,,,,,,,,,,
Mindbug (PNP),N4,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,
MindMaze: Jóvenes Detectives,COL 5,,,,,ok,23-julio,,2,,,,,1,,,,,3,,,,,,,,,,,,,,
Minecraft: Builders & Biomes,Novedades,15 SEP 2025,pestre,23 oct,n,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
Minecraft Explorers,Novedades,15 SEP 2025,,,n,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Mineros del Imperio,H5,8 JUL 2024,,,,ok,20/08/2025,,,,,,,,,,2,1,3,,,,,,,,,,,,,,
Misión cumplida,COL 0,,,,,,,,,,,,,5,2,1,2,2,12,,,,,,,,,,,,,,
Misterios de Pekín,A2,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Mistfall,D1,,,,,,15-noviembre,,2,4,1,,,1,,,,,8,,,,,,,,,,,,,,
Mix It,COL 6,16 MAY 2024,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Mixmo,D6,,,,,ok,8-marzo,,,1,,,1,1,2,,,,5,,,,,,,,,,,,,,
Miyabi,J4,,rawinn,9 oct,,,,,,,,,,2,2,1,1,3,9,,,,,,,,,,,,,,
Mmm!,Y5,,,,,,,,,,6,1,3,1,,1,,,12,,,,,,,,,,,,,,
Moirai,Novedades,15 SEP 2025,,,n,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Mole,Y6,,,,,,,,,,,,,,2,1,,,3,,,,,,,,,,,,,,
Molkky,A1,,,,,,,2,3,5,3,1,,,,3,1,1,19,,,,,,,,,,,,,,
Mombasa,F2,,,,,,,,,2,3,,1,2,1,,,1,10,,,,,,,,,,,,,,
Mombasa: Cooked Books Mini Expansion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mondrian: The Dice Game,J6,,,,,,,,,1,3,,,,,,,,4,,,,,,,,,,,,,,
Monetes,COL 7,,,,,,,,,,,,4,,,,1,,5,,,,,,,,,,,,,,
Monkidú,COL 5,,,,,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,
Monstargh!,COL 5,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,
Monster Dates,D5,8 MAR 2025,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
Monster Flip,COL 6,16 OCT 2024,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,
Monster Kit,COL 6,,,,,,,,,,,,1,,,,1,,2,,,,,,,,,,,,,,
Monster Mash,Z2,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,
Monster Motel,Novedades,16 OCT 2024,,,n,,,,,,,,,,,,1,1,2,,,,,,,,,,,,,,
Monstrys,COL 7,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,
Monza,Y3,,,,,,,,,,,,6,5,1,3,1,,16,,,,,,,,,,,,,,
Monza,Y3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moon,*,,,,,,,,,,,,,1,1,,,,2,,,,,,,,,,,,,,
Mosaic: Una Historia de la Civilización,Novedades,18 OCT 2025,,,n,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Mount Everest,Ventas,,,,,,,,2,1,,,,,,,,,3,,,,,,,,,,,,,,
